locations,lat,lon
PARQUE MOSCOSO,-20.3199474,-40.3427114
MARUÍPE,-20.2963157,-40.3198376
JARDIM CAMBURI,-20.2599804,-40.267894
BELA VISTA,-22.107327,-56.5317344
ILHA DAS CAIEIRAS,-20.2780131,-40.3355152
CONQUISTA,-14.8567487,-40.8414804
ANTÔNIO HONÓRIO,-20.262694,-40.2981413
CONSOLAÇÃO,-22.551389,-45.921111
NAZARETH,32.7010145,35.296147355359075
UNIVERSITÁRIO,-37.3195353,-59.1663463
SANTO ANDRÉ,-23.6573395,-46.5322504
SANTOS REIS,-29.614076400000002,-51.51439605821966
FRADINHOS,-20.3071309,-40.3269799
SANTA CLARA,37.2333253,-121.6846349
DO MOSCOSO,18.5411382,-69.9308629
NOVA PALESTINA,-20.2721397,-40.3268749
JARDIM DA PENHA,-20.2843019,-40.2945253
JOANA D´ARC,-20.2842568,-40.31718
JABOUR,-22.8807636,-43.4931972
SANTA LÚCIA,13.8250489,-60.975036
COMDUSA,-20.2866831,-40.3344263
PONTAL DE CAMBURI,-20.2893289,-40.2967992
SANTA MARTHA,19.3602817,-98.9952089
CARATOÍRA,-20.3154701,-40.3534172
AEROPORTO,38.768620850000005,-9.128247856220423
ENSEADA DO SUÁ,-20.3133066,-40.2922293
SANTA CECÍLIA,42.0522264,-3.802824
JESUS DE NAZARETH,-20.3174441,-40.3023787
ESTRELINHA,-20.2938737,-40.347269
MATA DA PRAIA,-20.2760095,-40.2939889
SOLON BORGES,-20.2614253,-40.294912
BARRO VERMELHO,-30.1360961,-53.16687393655323
FONTE GRANDE,-20.664294,-43.7927211
INHANGUETÁ,-20.2983262,-40.3484165
MÁRIO CYPRESTE,-20.3178139,-40.3579442
GURIGICA,-20.3059436,-40.3056724
BOA VISTA,2.8208478,-60.6719582
ARIOVALDO FAVALESSA,-20.3142531,-40.3564749
ILHA DO PRÍNCIPE,-20.3227554,-40.350573
SANTA LUÍZA,-29.3215001,-51.39356933553352
ILHA DO BOI,-3.1646904,-58.2021124401614
MONTE BELO,-21.3225052,-46.3649768
GRANDE VITÓRIA,-20.2886158,-40.3408156
DO CABRAL,18.1953083,-71.24762524590344
PRAIA DO SUÁ,-20.3131036,-40.2994874
ILHA DO FRADE,-20.30182875,-40.2827175234133
DE LOURDES,-16.3728032,-46.9034559
RESISTÊNCIA,-27.4511235,-58.9865196
GOIABEIRAS,-20.2651027,-40.26948257800969
SÃO JOSÉ,-27.6157733,-48.6276491
SANTO ANTÔNIO,-7.0124164,-37.9452203
CENTRO,47.5490251,1.7324062
REPÚBLICA,-23.545334500000003,-46.64225711835967
BONFIM,3.3613818,-59.8427241
ROMÃO,-23.8901961,-48.2765
PARQUE INDUSTRIAL,4.82314525,-75.73105680428654
DA PENHA,-22.8381127,-43.2764454
SEGURANÇA DO LAR,-20.2631167,-40.2963604
PRAIA DO CANTO,-20.298286,-40.2946647
SÃO CRISTÓVÃO,-11.0136465,-37.2071134
JUCUTUQUARA,-20.3088457,-40.3193283
BENTO FERREIRA,-20.3153408,-40.3069497
FORTE SÃO JOÃO,-20.3181834,-40.3245604
SANTA TEREZA,-29.1697808,-51.7363155
PIEDADE,-23.7074096,-47.4252319
CRUZAMENTO,-20.3109726,-40.322451
ILHA DE SANTA MARIA,36.9725989,-25.10263361635285
SÃO PEDRO,-22.5512765,-47.9072359
ITARARÉ,-24.1145368,-49.3352464
SANTOS DUMONT,-21.455867,-43.5522107
MORADA DE CAMBURI,-20.2712388,-40.2966929
ANDORINHAS,-22.5470341,-43.045271
SANTA HELENA,-15.96545515,-5.702575637953244
TABUAZEIRO,-20.2944536,-40.3229385
REDENÇÃO,-8.025294,-50.031687
MARIA ORTIZ,-20.2579835,-40.2979268
VILA RUBIM,-20.3194406,-40.3469311
SÃO BENEDITO,-4.0479952,-40.8643488
DO QUADRO,-22.516708,-42.6620787
HORTO,-23.5884174,-46.4007588
