lat,lon,rating
-37.3195353,-59.1663463,5.0
-27.6157733,-48.6276491,3.4
-27.4511235,-58.9865196,3.95
-24.1145368,-49.3352464,4.9
-23.7074096,-47.4252319,2.9
-23.6573395,-46.5322504,4.0
-23.5884174,-46.4007588,4.35
-23.545334500000003,-46.64225711835967,3.1100000000000003
-22.8807636,-43.4931972,5.0
-22.8381127,-43.2764454,5.0
-22.5512765,-47.9072359,4.5
-22.5470341,-43.045271,
-22.107327,-56.5317344,3.0
-21.455867,-43.5522107,2.6
-21.3225052,-46.3649768,5.0
-20.664294,-43.7927211,3.5
-20.3227554,-40.350573,3.7
-20.3199474,-40.3427114,3.7
-20.3194406,-40.3469311,3.7
-20.3181834,-40.3245604,3.15
-20.3178139,-40.3579442,3.7
-20.3174441,-40.3023787,
-20.3154701,-40.3534172,5.0
-20.3153408,-40.3069497,3.225
-20.3142531,-40.3564749,4.35
-20.3133066,-40.2922293,4.525
-20.3131036,-40.2994874,3.5666666666666664
-20.3109726,-40.322451,3.4
-20.3088457,-40.3193283,1.0
-20.3071309,-40.3269799,3.4
-20.3059436,-40.3056724,3.0
-20.30182875,-40.2827175234133,4.625
-20.2983262,-40.3484165,
-20.298286,-40.2946647,
-20.2963157,-40.3198376,4.766666666666667
-20.2944536,-40.3229385,4.766666666666667
-20.2893289,-40.2967992,5.0
-20.2843019,-40.2945253,4.5
-20.2842568,-40.31718,5.0
-20.2760095,-40.2939889,5.0
-20.2712388,-40.2966929,
-20.2651027,-40.26948257800969,4.0
-20.2631167,-40.2963604,4.2
-20.262694,-40.2981413,4.2
-20.2614253,-40.294912,4.2
-20.2599804,-40.267894,4.0
-20.2579835,-40.2979268,3.9000000000000004
-16.3728032,-46.9034559,2.966666666666667
-14.8567487,-40.8414804,4.2
-11.0136465,-37.2071134,3.0
-8.025294,-50.031687,4.45
-7.0124164,-37.9452203,4.5
-4.0479952,-40.8643488,2.6
2.8208478,-60.6719582,5.0
3.3613818,-59.8427241,5.0
4.82314525,-75.73105680428654,4.0
18.5411382,-69.9308629,4.7
19.3602817,-98.9952089,4.0
32.7010145,35.296147355359075,3.9
38.768620850000005,-9.128247856220424,
